Design,Learner,theta_hat,se,ci_lower,ci_upper,ci_length,kappa
Experimental,LIN,1751.8223678687577,667.6723000563821,443.1846597582487,3060.4600759792665,2617.2754162210176,3.996838573970798
Observational,LIN,621.3940659603486,786.6875439829886,-920.5135202463091,2163.301652167006,3083.815172413315,21.856937254097456
Experimental,LASSO,1793.4224948521808,672.4539566520758,475.41273981411223,3111.4322498902493,2636.019510076137,4.104464077518979
Observational,LASSO,55.78541081337387,638.6023568592085,-1195.875208630675,1307.4460302574225,2503.3212388880975,15.714643644499466
Experimental,RF,1455.486356354861,633.9187504832206,213.00560540774882,2697.9671073019736,2484.961501894225,3.949437047761609
Observational,RF,-642.119412607094,916.0946209142685,-2437.6648695990602,1153.426044384872,3591.0909139839323,39.872286131056214
