sign_type,target_r2,mean_kappa,mean_abs_bias,mean_bias,coverage
opposite,0.75,4.000962530958436,0.07211514028235731,-0.07201783956918022,0.318
opposite,0.9,10.015296758766633,0.2103745050301486,-0.2103745050301486,0.004
opposite,0.95,19.99681272753996,0.40829970721880327,-0.40829970721880327,0.0
same,0.75,4.000962530958436,0.026737689405858467,0.017756109499189453,0.902
same,0.9,10.015296758766633,0.05163959576803724,0.04323094492817237,0.842
same,0.95,19.99681272753996,0.0906516000511081,0.0845748158959627,0.748
