n,R2_target,learner,n_reps,mean_sample_R2,median_kappa,mean_kappa,sd_kappa,coverage,avg_ci_length,mean_bias,mean_se,rmse,overlap,kappa_regime
500,0.75,LAS,500,0.7548998163398236,0.7245275413184737,0.723932047222199,0.04430431278767845,0.94,0.19493170664180637,0.0006066528163067217,0.04972747618413424,0.05080046931967045,High,< 1
500,0.75,LIN,500,0.7538834855456348,0.7241992579501011,0.7266632971514155,0.0475161580010295,0.956,0.19369706986757787,0.0009084586849828027,0.049412517823361674,0.04855505699570654,High,< 1
500,0.75,RF,500,0.7515270660196699,0.5451995769590341,0.5480777080942899,0.03298982314326163,0.956,0.1773788467620371,-0.020183147957101518,0.04524970580664208,0.04538561260522445,High,< 1
500,0.9,LAS,500,0.9005310125259107,2.1482816816138213,2.1645047995024354,0.1417585743210479,0.934,0.33374705808010896,-0.00018688084159558134,0.08513955563268082,0.08942585684009423,Moderate,> 2
500,0.9,LIN,500,0.8996953140409384,2.1497349924392584,2.1574931995734365,0.13780722652908634,0.95,0.334531266561806,0.0014226363298857144,0.0853396088167872,0.08476958094087494,Moderate,> 2
500,0.9,RF,500,0.899212289876519,1.0583898539486323,1.0594871769218175,0.056207994369981,0.962,0.27948252808788754,-0.04310441330428864,0.07129656328772638,0.07066009379852649,Moderate,1-2
500,0.97,LAS,500,0.9704537802356279,7.763015404714665,7.78015326386963,0.493283993545366,0.932,0.6361655542694489,0.0003937254412696105,0.1622871311911859,0.17083953361451018,Low,> 2
500,0.97,LIN,500,0.968749047412146,7.714351587357942,7.732915388018137,0.5156121255011991,0.946,0.6346656059877415,-0.007035135960166071,0.16190449132340343,0.16508992851250534,Low,> 2
500,0.97,RF,500,0.9700685829979908,1.6074571537540925,1.6087182727571916,0.07933834700192643,0.964,0.3807627186015419,-0.07363332308387453,0.09713334658202596,0.09856528653166903,Low,1-2
2000,0.75,LAS,500,0.750339062123863,0.73251708707321,0.7339227066654747,0.021789496835999452,0.946,0.09668247505117,-0.00012174023224105543,0.024663896696727004,0.024124526233299762,High,< 1
2000,0.75,LIN,500,0.7494267197607517,0.7332843965983997,0.7326464203602034,0.022794260413814414,0.946,0.09636473355571858,0.0015859105408346037,0.024582840192785314,0.02449912801126304,High,< 1
2000,0.75,RF,500,0.7509048977629655,0.5891754126687372,0.58984830770664,0.0166353610691407,0.824,0.08396776330911439,-0.024981766742216374,0.021420347782937308,0.03143047329564144,High,< 1
2000,0.9,LAS,500,0.8998246906654387,2.1951577876096238,2.1975470615568815,0.07053829931049209,0.962,0.16709308182985247,0.0015074019146349591,0.04262578618108478,0.04210060049678665,Moderate,> 2
2000,0.9,LIN,500,0.8993506436583226,2.202211568118784,2.203915681722206,0.06723229449050169,0.954,0.16752190659472918,0.000473837769516753,0.04273518025375741,0.04373413084836211,Moderate,> 2
2000,0.9,RF,500,0.8998357019589979,1.228670194033592,1.229270596514041,0.03137314090848184,0.598,0.13500853943245802,-0.06082940538554046,0.0344409539368515,0.06649831429987127,Moderate,1-2
2000,0.97,LAS,500,0.9702619497312764,7.899658038879838,7.8960417713387985,0.2429539107194453,0.95,0.3173167518353709,-0.0022091502724231405,0.0809481509784109,0.08168277487822667,Low,> 2
2000,0.97,LIN,500,0.9696196611133525,7.894350941738519,7.905884227294327,0.24644998738467502,0.95,0.31676356528030636,0.004052141033002467,0.0808070319592618,0.08157434770423716,Low,> 2
2000,0.97,RF,500,0.9706188494530095,2.014781388268204,2.015605211639997,0.05345684602310429,0.398,0.1910386234360333,-0.10353722867178879,0.048734342713273766,0.10921088873017326,Low,> 2
