n,R2_target,learner,n_reps,mean_sample_R2,median_kappa,mean_kappa,sd_kappa,coverage,avg_ci_length,mean_bias,mean_se,rmse,overlap,kappa_regime
200,0.75,LAS,500,0.7545768031037925,0.6158570928767191,0.6194508331868173,0.0649278399616646,0.922,0.30180900314704473,0.013709678621969739,0.07699209263955223,0.08482709362809375,High,< 1
200,0.9,LAS,500,0.9004155078012753,1.7784044779808508,1.7919330833477387,0.1975640310836796,0.898,0.5189738784410493,0.06354129349229277,0.13239129552067583,0.15671833036049915,Moderate,1-2
200,0.97,LAS,500,0.9674104397652147,6.2646491621024,6.312501698370056,0.7068518870458081,0.874,0.974146375186315,0.19839843031052284,0.2485067283638559,0.32500802370525256,Low,> 2
