Design,Learner,n,theta,se,ci_lower,ci_upper,kappa_dml
Experimental,LIN,445,1751.8223678687577,667.6723000563821,443.1846597582487,3060.4600759792665,3.996838573970798
Experimental,LASSO,445,1793.4224948605006,672.4539566245343,475.4127398764135,3111.4322498445877,4.104464077518979
Experimental,RF,445,1455.4863563548613,633.9187504832206,213.00560540774904,2697.9671073019736,3.949437047761609
Observational,LIN,2675,621.3940659603486,786.6875439829886,-920.5135202463091,2163.301652167006,21.856937254097456
Observational,LASSO,2675,55.785410509119636,638.6023568565789,-1195.875208929775,1307.4460299480143,15.714643644499455
Observational,RF,2675,-642.1194126070934,916.0946209142685,-2437.66486959906,1153.4260443848727,39.872286131056214
