delta,target_r2,mean_structural_kappa,median_structural_kappa,mean_kappa,mean_abs_bias,median_abs_bias,std_abs_bias,mean_bias,coverage,mc_se,mean_se,mean_rmse_m,mean_rmse_l,n_reps,mc_se_bias,mc_se_abs_bias,kappa_times_delta,bias_to_se_ratio
0.02,0.97,33.33931489191921,33.30416224484973,32.924949309487154,0.0742076247572806,0.061557387094760996,0.053335949798548804,0.0064506606537669455,0.946,0.09121861825148538,0.08956121202187751,0.02824057512320792,0.06670125147111941,500,0.004079420624478486,0.0023852561878814262,0.6660832448969946,0.0707164916265535
0.02,0.99,99.97865548166081,99.89948952821027,96.13787964672352,0.11680919082431705,0.09556055723662582,0.08938757552424145,0.02715624203704487,0.962,0.14464760564863383,0.15458992424166826,0.028227086490691985,0.06681444654109926,500,0.0064688375802585555,0.003997533904322006,1.9979897905642054,0.1877406951554428
0.05,0.5,1.999237056503927,2.000668124603821,1.9943120845507785,0.012927879663676185,0.01038604256520137,0.009971731301826516,0.0010266446725528573,0.948,0.016304732940248718,0.015973601374544726,0.070562353764495,0.16663494829716852,500,0.0007291698241875232,0.0004459493808849312,0.10003340623019107,0.06296605263730229
0.05,0.75,3.9828527633823687,3.9872558098757493,3.9532726411391774,0.022359489931047433,0.020036321178337257,0.016306114387790047,0.004628986711035197,0.952,0.027301421114848422,0.027515733537715803,0.07045599770044277,0.16668035844333304,500,0.0012209566699029823,0.0007292316043997183,0.19936279049378747,0.16955112671836817
0.05,0.9,9.98312740697799,9.972463959772998,9.765046429186302,0.038625321389276615,0.03307625314468132,0.028989510508634627,0.009198503263357848,0.944,0.04743959270632882,0.04738269411900522,0.07050243863021254,0.1669127546937632,500,0.0021215630823250885,0.0012964503226350302,0.49862319798864996,0.1938992883075637
0.05,0.95,20.01941524290907,19.941353243299318,19.11957877655139,0.05797532786223424,0.050592723386602034,0.043407633498459774,0.02567896613811221,0.938,0.06775962125041711,0.06805022416240933,0.07054552307241446,0.1667623844763311,500,0.0030303023849114386,0.0019412483848990619,0.9970676621649659,0.37897151229950443
0.05,0.97,33.26495964478898,33.22915683798072,30.768466550537912,0.07669842911652519,0.06450297653723247,0.05617921907060147,0.03776686322418137,0.934,0.0873003334108626,0.08722733296159453,0.07052216515163669,0.1670179829651039,500,0.0039041895993016983,0.0025124110552943494,1.661457841899036,0.43260846492348126
0.05,0.99,100.18900449676647,100.23907997138308,80.32604355046621,0.14272606994654533,0.12368189573180183,0.10327477750178433,0.10615943317293328,0.886,0.14065853599049224,0.14309769392599264,0.07050045851099787,0.16665819092685769,500,0.006290440961806828,0.004618588457103112,5.011953998569155,0.7547315378009414
0.1,0.5,1.9969928037370088,1.9939689598008385,1.9771526469334277,0.01423756341969442,0.012512301318318597,0.010171283151658243,0.004789800807990594,0.928,0.016839871550774706,0.016300936352636238,0.141037224114664,0.3340448228865418,500,0.0007531019503979402,0.0004548736109101227,0.19939689598008387,0.2844321462636241
0.1,0.75,4.006204418530947,4.0107701371738935,3.8902954968926156,0.025865536970594426,0.022775253959819608,0.01803497489571645,0.016548886422564385,0.924,0.026855401411454212,0.02805169487029406,0.1410592217966973,0.33362886488181226,500,0.001201010062381108,0.0008065485967864832,0.40107701371738935,0.6162218977485121
0.1,0.9,10.00629271128299,9.986968260087147,9.173807896318138,0.05503144424140107,0.04747375546231414,0.038520496013102916,0.04722547219675795,0.828,0.04778747610726443,0.04730488464565721,0.14123449967870688,0.3342317094998688,500,0.0021371209009798057,0.001722688952246155,0.9986968260087148,0.9882395146953357
0.1,0.95,20.011902511126,20.00117856566809,16.84967968121548,0.09164735865261867,0.08202647968724741,0.05973805360658769,0.08432380368026275,0.736,0.06971335714070877,0.06624103970157777,0.14117206232677126,0.3337669663030643,500,0.003117676110126904,0.00267156697415713,2.0001178565668094,1.2095788689399134
0.1,0.97,33.43308464891147,33.41631035403153,25.248592972026753,0.13291440124806525,0.12854537046310632,0.07590627990984514,0.12835481053238623,0.65,0.08339922864208854,0.08232128600422571,0.14127137069422138,0.3337863324709839,500,0.003729726890295149,0.0033946320359508073,3.3416310354031533,1.5390407396119519
0.1,0.99,100.17354379761373,100.33582284185678,50.38284763584327,0.2725375064721094,0.27771003809088735,0.11941071614584733,0.2725260789534447,0.374,0.11943684664781391,0.11969409076182119,0.1412387806162157,0.3340745384400621,500,0.005341378162454597,0.005340209570880927,10.033582284185679,2.281758825708522
0.2,0.5,1.9942256254762352,1.9919964070869653,1.9164193203204192,0.022905709083550163,0.021416616002575828,0.015064027715414603,0.02095156319061809,0.8,0.01768615814750521,0.017769900471697044,0.2821909649972288,0.6683078922776612,500,0.0007909490375726675,0.0006736837997321582,0.3983992814173931,1.184630546435179
0.2,0.75,4.004584730216122,4.004534888297961,3.575564637163645,0.05902959028943077,0.05867368380331517,0.02769975310308605,0.058378462291527364,0.494,0.029049564436160122,0.03005528863965727,0.28240588445202813,0.6687062924988892,500,0.0012991360159202877,0.0012387706179692224,0.8009069776595923,2.00961575240899
0.2,0.9,10.001376522072691,9.991055951826958,7.355185283810937,0.14551099349761248,0.143006050958021,0.04426664496583195,0.14551099349761248,0.126,0.044266644965831874,0.048768517102888785,0.2822339488021674,0.6670115409815254,500,0.001979664545588981,0.001979664545588981,1.9982111903653916,3.287147548903427
0.2,0.95,20.030708534488454,20.002331406803833,11.387257854441428,0.2302179185232963,0.2293357520332595,0.06323678431082029,0.2302179185232963,0.052,0.06323678431082032,0.06460143211241909,0.2824499541457944,0.6677394541628041,500,0.002828034967949727,0.002828034967949727,4.000466281360767,3.640569662614931
0.2,0.97,33.338408876024836,33.36804861274959,14.536635965457764,0.31343964940883706,0.31288335712531046,0.07918071964725892,0.31343964940883706,0.018,0.07918071964725887,0.0757418848065836,0.2822654345034431,0.6674381980139436,500,0.003541069432772481,0.003541069432772481,6.6736097225499185,3.9585349919169106
0.2,0.99,99.74753579067058,99.7439231747517,20.121101735725926,0.42943246552197395,0.4290591487007459,0.09163719757594387,0.42943246552197395,0.008,0.0916371975759439,0.09347856499237125,0.2819315223281765,0.6665614205990541,500,0.004098140060947788,0.004098140060947788,19.948784634950343,4.686224337732326
