dgp_type,target_r2,mean_kappa,kappa_times_delta,mean_abs_bias,coverage
Non-linear (tanh),0.75,4.005574132107264,0.4005574132107264,0.02636595417968361,0.902
Non-linear (tanh),0.9,10.03338081712544,1.0033380817125441,0.04875987645640888,0.86
Non-linear (tanh),0.95,20.055743174742886,2.005574317474289,0.08956666254425552,0.744
Linear (β'X),0.75,4.0107701371738935,0.40107701371738935,0.025865536970594426,0.924
Linear (β'X),0.9,9.986968260087147,0.9986968260087148,0.05503144424140107,0.828
Linear (β'X),0.95,20.00117856566809,2.0001178565668094,0.09164735865261867,0.736
