sample_size,mean_abs_bias,std_bias,mean_kappa,coverage,n_reps,kappa_times_delta
500,0.08662244215576932,0.09897479014696334,9.957360130207592,0.912,500,0.9957360130207592
1000,0.0639845316743034,0.06483728583640896,9.997380761001434,0.9,500,0.9997380761001434
2000,0.049385320375783845,0.045568707899173,9.999035589954687,0.858,500,0.9999035589954688
4000,0.048341378421100416,0.03222040020832281,9.98804077775073,0.728,500,0.998804077775073
